,City,Variety,Month,Package,Low Price,High Price,Price
70,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,15.0,15.0,13.5
71,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,18.0,18.0,16.2
72,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,18.0,18.0,16.2
73,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
74,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,15.0,15.0,13.5
75,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,18.0,18.0,16.2
76,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
77,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.5,15.975
78,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,15.0,15.0,13.5
79,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
80,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.5,15.975
81,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,15.0,15.0,13.5
82,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
83,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.5,15.975
84,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,15.0,15.0,13.5
85,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,16.0,17.0,14.85
86,BALTIMORE,PIE TYPE,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
87,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,18.0,18.0,16.2
88,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
89,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,18.0,18.0,16.2
90,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
91,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
92,BALTIMORE,PIE TYPE,9,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
123,BALTIMORE,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
124,BALTIMORE,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
125,BALTIMORE,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
126,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
127,BALTIMORE,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
128,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
129,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
130,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,17.0,33.0
131,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,18.0,34.0
132,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
133,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
134,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,17.0,33.0
135,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,18.0,34.0
136,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
137,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
138,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,17.0,33.0
139,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,18.0,34.0
140,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,17.0,32.0
141,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
142,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,17.0,33.0
143,BALTIMORE,MINIATURE,10,1/2 bushel cartons,16.0,18.0,34.0
144,BALTIMORE,MINIATURE,11,1/2 bushel cartons,16.0,17.0,33.0
145,BALTIMORE,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
146,BALTIMORE,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
147,BALTIMORE,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
148,BALTIMORE,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
149,BALTIMORE,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
150,BALTIMORE,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
151,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
152,BALTIMORE,MINIATURE,10,1/2 bushel cartons,15.0,15.0,30.0
188,ATLANTA,PIE TYPE,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
189,ATLANTA,PIE TYPE,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
190,ATLANTA,PIE TYPE,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
191,ATLANTA,PIE TYPE,11,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
209,ATLANTA,MINIATURE,9,1 1/9 bushel cartons,16.5,18.0,15.524999999999999
356,BOSTON,FAIRYTALE,9,1/2 bushel cartons,15.0,16.0,31.0
357,BOSTON,FAIRYTALE,10,1/2 bushel cartons,15.0,16.0,31.0
358,BOSTON,FAIRYTALE,10,1/2 bushel cartons,15.0,16.0,31.0
359,BOSTON,FAIRYTALE,10,1/2 bushel cartons,15.0,16.0,31.0
360,BOSTON,FAIRYTALE,10,1/2 bushel cartons,15.0,16.0,31.0
361,BOSTON,FAIRYTALE,10,1/2 bushel cartons,15.0,16.0,31.0
362,BOSTON,FAIRYTALE,11,1/2 bushel cartons,15.0,16.0,31.0
377,BOSTON,PIE TYPE,9,1 1/9 bushel crates,15.0,16.0,13.95
378,BOSTON,PIE TYPE,10,1 1/9 bushel crates,15.0,16.0,13.95
379,BOSTON,PIE TYPE,10,1 1/9 bushel crates,15.0,16.0,13.95
380,BOSTON,PIE TYPE,10,1 1/9 bushel crates,15.0,16.0,13.95
381,BOSTON,PIE TYPE,10,1 1/9 bushel crates,15.0,16.0,13.95
382,BOSTON,PIE TYPE,10,1 1/9 bushel crates,15.0,16.0,13.95
383,BOSTON,PIE TYPE,11,1 1/9 bushel crates,15.0,16.0,13.95
384,BOSTON,PIE TYPE,11,1 1/9 bushel crates,15.0,16.0,13.95
385,BOSTON,PIE TYPE,11,1 1/9 bushel crates,15.0,16.0,13.95
386,BOSTON,PIE TYPE,11,1 1/9 bushel crates,15.0,16.0,13.95
387,BOSTON,PIE TYPE,12,1 1/9 bushel crates,15.0,16.0,13.95
388,BOSTON,PIE TYPE,9,1 1/9 bushel cartons,15.0,16.0,13.95
389,BOSTON,PIE TYPE,10,1 1/9 bushel cartons,15.0,16.0,13.95
390,BOSTON,PIE TYPE,10,1 1/9 bushel cartons,15.0,16.0,13.95
391,BOSTON,PIE TYPE,10,1 1/9 bushel cartons,15.0,16.0,13.95
392,BOSTON,PIE TYPE,10,1 1/9 bushel cartons,15.0,16.0,13.95
393,BOSTON,PIE TYPE,10,1 1/9 bushel cartons,15.0,16.0,13.95
394,BOSTON,PIE TYPE,11,1 1/9 bushel cartons,15.0,16.0,13.95
395,BOSTON,PIE TYPE,11,1 1/9 bushel cartons,15.0,16.0,13.95
396,BOSTON,PIE TYPE,11,1 1/9 bushel cartons,15.0,16.0,13.95
397,BOSTON,PIE TYPE,11,1 1/9 bushel cartons,15.0,16.0,13.95
398,BOSTON,PIE TYPE,12,1 1/9 bushel cartons,15.0,16.0,13.95
399,BOSTON,PIE TYPE,12,1 1/9 bushel cartons,15.0,16.0,13.95
